"NEW.ID_PROG";"BIOGEOREF";"REGBIOGEO";"HABITAT";"BIOGEO_HAB";"ALT";"LON";"LAT"
"286";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";164;0,539192000002147;44,7407680000137
"287";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";28;2,84950200000031;50,495326999999
"288";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";119;-2,97369000000059;47,9572980000202
"291";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";432;-0,0899099999985679;42,994801000014
"292";"National";"Atlantique_central";"Aquatique";"National_Aquatique";39;2,13488100000231;49,9661249999854
"293";"National";"Continental";"Terrestre";"National_Terrestre";171;4,70540900000412;48,331749000041
"294";"National";"Continental";"Terrestre";"National_Terrestre";171;4,79359700000133;49,5566410000398
"295";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";154;1,44083300000205;43,8136109999909
"296";"National";"Lusitanien";"STOC-rozo";"National_STOC-rozo";6;-3,193207;47,63021
"297";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";2;-1,99356699999944;47,0483139999817
"298";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";37;2,97858300000262;50,4565560000418
"299";"National";"Continental";"Terrestre";"National_Terrestre";262;5,48756800000056;45,7298809999704
"2b";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";122;2,444853;48,375566
"32";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";5;-1,04848499999979;46,0196340000099
"34";"National";"Mediterraneen";"Terrestre";"National_Terrestre";205;4,9891870000053;44,7610050000016
"36";"National";"Continental";"Terrestre";"National_Terrestre";181;5,326584;46,927096
"37";"National";"Continental";"Terrestre";"National_Terrestre";437;2,30053799999631;46,376952999979
"39";"National";"Continental";"Terrestre";"National_Terrestre";149;7,732147;48,438292
"40";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";152;1,70864600000447;46,830962999966
"42";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";6;2,25547299999742;50,7554239999684
"43";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";6;2,25547299999742;50,7554239999684
"44a";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";19;3,23111999999501;50,3936310000098
"44b";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";19;3,23111999999501;50,3936310000098
"44c";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";19;3,23111999999501;50,3936310000098
"46";"National";"Continental";"Terrestre";"National_Terrestre";176;7,54617000005429;48,1637989999744
"47";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";0;-1,06666699999914;45,9000020000394
"49";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";115;-0,112076999999851;48,0738410000109
"50";"National";"Lusitanien";"STOC-rozo";"National_STOC-rozo";29;-0,1561809999991;47,6796489999846
"51";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";104;0,301946000001007;49,5084040000311
"52";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";115;0,362247000002512;49,4958040000209
"53";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";115;0,362247000002512;49,4958040000209
"54";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";121;0,413548000002814;49,5084040000207
"56";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";34;-5,06666700000567;48,4666670000022
"57";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";3;-2,223635;46,996459
"58";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";5;-0,0319649999981855;49,1430129999997
"59";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";101;0,833295000004412;47,4238700000491
"60";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";53;1,87298699999826;48,8573270000178
"610";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";53;1,87298699999826;48,8573270000178
"615";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";80;2,59572399999737;48,2840349999866
"62";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";48;-1,734211;49,371613
"620";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";90;-4,23104200000275;48,1804890000482
"621";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";125;0,69483100000493;49,3694150000215
"622";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";142;-0,107984000000165;48,2975199999819
"628";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";7;-0,68126899999726;45,8783420000269
"637";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";4;-2,791187;47,574023
"639";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";74;-3,20591299999324;48,7150919999757
"63a";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";123;-2,7941300000057;48,0963479999927
"63c";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";123;-2,7941300000057;48,0963479999927
"64";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";169;2,00927200000018;48,7785110000077
"640";"National";"Lusitanien";"STOC-rozo";"National_STOC-rozo";75;-2,36166100000065;47,6954039999915
"641";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";12;-4,23103500000549;47,8222920000192
"642";"National";"Mediterraneen";"Terrestre";"National_Terrestre";4;4,6333330000006;43,6684380000277
"643";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";75;-3,56412800000279;48,7699890000207
"649";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";77;-1,87204799999733;47,979809000015
"65";"National";"Atlantique_central";"STOC-rozo";"National_STOC-rozo";169;2,00927200000018;48,7785110000077
"650";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";77;-1,87204799999733;47,979809000015
"659";"National";"Continental";"Terrestre";"National_Terrestre";349;5,391819;48,51963
"66";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";5;-1,01302300000211;44,6836320000346
"660";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";76;0,21154600000116;47,1374319999814
