"YEAR";"BIOGEOREF";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
2018;"Atlantique";2,14285714285714;2,14285714285714;2,57142857142857;4,5;8,55;"ANTTRI"
2019;"Atlantique";1,56428571428571;2,14285714285714;2,5;3;3,675;"ANTTRI"
2020;"Atlantique";1,53571428571429;2,32142857142857;3;3;3,18214285714286;"ANTTRI"
2021;"Atlantique";1,91071428571429;2,875;3,10714285714286;3,24404761904762;5,53333333333333;"ANTTRI"
2022;"Atlantique";1,63392857142857;1,875;2,14285714285714;4,28571428571429;6,21428571428571;"ANTTRI"
2005;"Atlantique";1,11964285714286;1,55357142857143;2,03571428571429;2,51785714285714;2,95178571428571;"CAPEUR"
2008;"Atlantique";0,8625;1,125;1,41666666666667;1,70833333333333;1,97083333333333;"CAPEUR"
2009;"Atlantique";2,1;3;4;5;5,9;"CAPEUR"
2010;"Atlantique";1,10757992007992;1,43294205794206;1,79445554445554;2,15596903096903;2,48133116883117;"CAPEUR"
2011;"Atlantique";3;3;3;3;3;"CAPEUR"
2012;"Atlantique";3;3;3;3;3;"CAPEUR"
2013;"Atlantique";3;3;3;3;3;"CAPEUR"
2014;"Atlantique";1,10119047619048;1,36904761904762;1,66666666666667;2,33333333333333;2,93333333333333;"CAPEUR"
2015;"Atlantique";9;9;9;9;9;"CAPEUR"
2016;"Atlantique";1,37229904926534;1,58815903197926;1,82800345721694;2,06784788245462;2,28370786516854;"CAPEUR"
2017;"Atlantique";1,07142857142857;1,07142857142857;1,07142857142857;1,07142857142857;1,07142857142857;"CAPEUR"
2018;"Atlantique";2,5125;2,625;2,75;2,875;2,9875;"CAPEUR"
2019;"Atlantique";1,37710674157303;1,63623595505618;1,92415730337079;2,21207865168539;2,47120786516854;"CAPEUR"
2020;"Atlantique";2,325;2,48076923076923;2,65384615384615;2,82692307692308;2,98269230769231;"CAPEUR"
2021;"Atlantique";2,525;2,75;3;4,5;5,85;"CAPEUR"
2022;"Atlantique";2,31818181818182;2,41258741258741;2,51748251748252;2,62237762237762;2,71678321678322;"CAPEUR"
1990;"Atlantique";0,760661764705882;0,856617647058824;0,963235294117647;1,06985294117647;1,16580882352941;"CARCHL"
1991;"Atlantique";1,78877005347594;2,00534759358289;2,24598930481283;2,48663101604278;2,70320855614973;"CARCHL"
1992;"Atlantique";0,594743935309973;0,853099730458221;1,14016172506739;1,42722371967655;1,6855795148248;"CARCHL"
1993;"Atlantique";2,025;2,25;2,5;2,75;2,975;"CARCHL"
1994;"Atlantique";1,28571428571429;1,28571428571429;1,28571428571429;1,28571428571429;1,28571428571429;"CARCHL"
1995;"Atlantique";2;2;2;2;2;"CARCHL"
1996;"Atlantique";0,888888888888889;0,888888888888889;0,888888888888889;0,888888888888889;0,888888888888889;"CARCHL"
2000;"Atlantique";0,587462462462462;0,822393822393822;1,29395604395604;1,99519230769231;2,88541666666667;"CARCHL"
2001;"Atlantique";1,75879120879121;2,15934065934066;2,5;2,8525641025641;3,28525641025641;"CARCHL"
2002;"Atlantique";0,821235521235521;1,2125;1,69642857142857;3,64814814814815;8,97321428571429;"CARCHL"
2003;"Atlantique";1,13015873015873;2,5;4,28571428571429;5,45454545454546;18,8095238095238;"CARCHL"
2004;"Atlantique";1,05384615384615;2;2,5;7,04545454545455;8,57142857142857;"CARCHL"
2005;"Atlantique";0,866666666666667;2,5;4;5;6,34285714285714;"CARCHL"
2006;"Atlantique";1,02307692307692;1,71978021978022;4,28571428571429;8,03571428571428;8,72321428571428;"CARCHL"
2007;"Atlantique";0,889285714285714;1,05;2,15384615384615;2,875;6,06214285714286;"CARCHL"
2008;"Atlantique";0,885714285714286;2;2,72727272727273;3;3,95;"CARCHL"
2009;"Atlantique";1,08185328185328;2,30769230769231;2,72727272727273;3,33333333333333;6,63461538461538;"CARCHL"
2010;"Atlantique";0,905882352941176;2;2,30769230769231;2,72727272727273;2,94545454545455;"CARCHL"
2011;"Atlantique";2,06122448979592;2,5;3;3,15789473684211;4,8;"CARCHL"
2012;"Atlantique";1,52410714285714;2;2,5;2,92307692307692;5,55671641791045;"CARCHL"
2013;"Atlantique";1,11742424242424;2,85123966942149;4;5,30769230769231;6,22835820895522;"CARCHL"
2014;"Atlantique";1,60769230769231;2;2,14285714285714;4,0410447761194;4,925;"CARCHL"
2015;"Atlantique";1,64210526315789;2,5;3;5,74779165397502;6,58503401360544;"CARCHL"
2016;"Atlantique";1,13095238095238;1,66666666666667;2;6,12244897959184;11,1122448979592;"CARCHL"
2017;"Atlantique";1,08173076923077;1,49038461538462;2,59328358208955;4,83830845771144;7,25694444444444;"CARCHL"
2018;"Atlantique";1,08585164835165;2,16346153846154;4,27777777777778;10,4664179104478;15;"CARCHL"
2019;"Atlantique";2,91791044776119;5;6;6,66666666666667;11,9166666666667;"CARCHL"
2020;"Atlantique";1,35;2,5;2,72727272727273;4;14,2916666666667;"CARCHL"
2021;"Atlantique";2,15;3;3,33333333333333;3,87362637362637;4,89285714285714;"CARCHL"
