"HABITAT";"SP";"ABUND025";"ABUND25";"ABUND50";"ABUND75";"ABUND90";"ABUND975";"NB_STATION_CAPTURE";"NB_STATION";"PROP_STATION_CAPTURE";"HABITAT_SP";"MIGRATION";"nb_site";"prop_site"
"Terrestre";"PARNUS";0;0;1;1;2,4;3,65;6;57,5;0,129807692307692;"Terrestre";"Court";56;0,196491228070175
"Terrestre";"PASDOM";0;0;1;3;8,85;13,9;13,5;57,5;0,221933848382424;"Terrestre";"Court";98;0,343859649122807
"Terrestre";"PASMON";0;0;0;0;0;0;0;57,5;0;"Terrestre";"Court";10;0,0350877192982456
"Terrestre";"PETPET";0;0;0;0;0;0;0;59;0;"Terrestre";"Court";1;0,00350877192982456
"Terrestre";"PHOOCH";0;0;0;0;0,550000000000001;1,425;3;57,5;0,0418859649122807;"Terrestre";"Court";74;0,259649122807018
"Terrestre";"PHOPHO";0;0;0;0;1;3,53749999999999;4;57,5;0,0762527233115468;"Terrestre";"Long";68;0,23859649122807
"Terrestre";"PHYBON";0;0;0;1;2,3;5,7;4;76;0,0493827160493827;"Terrestre";"Long";31;0,108771929824561
"Terrestre";"PHYCOL";0;1,875;4;8;12,2;18,025;44,5;57,5;0,808210784313726;"Terrestre";"Court";266;0,933333333333333
"Terrestre";"PHYLUS";0;0;0;3;6,2;10,6;11,5;57,5;0,307692307692308;"Terrestre";"Long";134;0,470175438596491
"Terrestre";"PHYSIB";0;0;0;0;0;0;0;57,5;0;"Terrestre";"Long";18;0,0631578947368421
"Terrestre";"PICDIS";0;0;0;0,5;1;1,6375;6,5;57,5;0,136134453781513;"Terrestre";"Court";120;0,421052631578947
"Terrestre";"PICPIC";0;0;0;0;0,55;0,925;1;57,5;0,0185185185185185;"Terrestre";"Court";27;0,0947368421052632
"Terrestre";"PRUMOD";0;1;3;6;8,7;12,0125;38,5;57,5;0,692307692307692;"Terrestre";"Court";236;0,828070175438597
"Terrestre";"PYRULA";0;0;1;3;5,2;7,6125;17;57,5;0,322530864197531;"Terrestre";"Court";139;0,487719298245614
"Terrestre";"RALAQU";0;0;0;0;0;0;0;84,5;0;"Aquatique";"Court";4;0,0140350877192982
"Terrestre";"REGIGN";0;0;0;0;0,700000000000001;1;1,5;57,5;0,035002035002035;"Terrestre";"Court";57;0,2
"Terrestre";"REGREG";0;0;0;0;0;0,9125;1;57,5;0,0181028833551769;"Terrestre";"Court";52;0,182456140350877
"Terrestre";"REMPEN";0;0;0;0;0;0;0;39;0;"Aquatique";"Long";2;0,00701754385964912
"Terrestre";"RIPRIP";0;0;0;0,5;0,9;0,975;1;84;0,00925925925925926;"Terrestre";"Long";6;0,0210526315789474
"Terrestre";"SAXRUB";0;0;0;0;0;0;0;65;0;"Terrestre";"Long";13;0,0456140350877193
"Terrestre";"SAXTOR";0;0;0;1;1,8;3,325;6;57,5;0,0803921568627451;"Terrestre";"Court";65;0,228070175438596
"Terrestre";"SERLLA";7;7;7;7;7;7;1;88;0,0111455108359133;"Terrestre";"Court";1;0,00350877192982456
"Terrestre";"SERSER";0;0;0;0;1;2,3;3;59;0,0476190476190476;"Terrestre";"Court";42;0,147368421052632
"Terrestre";"SITEUR";0;0;0;0;1;1,9625;4,5;57,5;0,117195767195767;"Terrestre";"Court";117;0,410526315789474
"Terrestre";"STRALU";0;0;0;0;0;0;0;73,5;0;"Terrestre";"Court";12;0,0421052631578947
"Terrestre";"STRCTO";0;0;0;0;0;0;0;57,5;0;"Terrestre";"Court";4;0,0140350877192982
"Terrestre";"STRTUR";0;0;0;0;0,85;1;2;57,5;0,0307692307692308;"Terrestre";"Long";41;0,143859649122807
"Terrestre";"STUVUL";0;0;0;0;1;2,025;3,5;57,5;0,0887605042016807;"Terrestre";"Court";86;0,301754385964912
"Terrestre";"SYLALA";0;0;0;0;1;1;1;76;0,0120481927710843;"Terrestre";"Court";17;0,0596491228070175
"Terrestre";"SYLATR";0,425;5,25;11,5;19,75;27,6;43,7875;54;57,5;0,955112721417069;"Terrestre";"Court";278;0,975438596491228
"Terrestre";"SYLBOR";0;0;2;5,125;8,6;13,125;32,5;57,5;0,58179012345679;"Terrestre";"Long";209;0,733333333333333
"Terrestre";"SYLCAN";0;0;0;1;1;1;2;65;0,0264301860545992;"Terrestre";"Long";19;0,0666666666666667
"Terrestre";"SYLCOM";0;0;1,25;7;13,05;22,8625;22;57,5;0,416666666666667;"Terrestre";"Long";173;0,607017543859649
"Terrestre";"SYLCUR";0;0;1;2,25;4,25;6,4125;8;57,5;0,17619825708061;"Terrestre";"Long";64;0,224561403508772
"Terrestre";"SYLHOR";0,0875;0,875;2,75;3,75;4,2;4,425;2;83,5;0,0274436090225564;"Terrestre";"Long";9;0,0315789473684211
"Terrestre";"SYLSAR";2;2;2;2;2;2;1;76;0,0131578947368421;"Terrestre";"Long";1;0,00350877192982456
"Terrestre";"SYLUND";0;0;0;0,25;0,800000000000001;0,975;1;84;0,018348623853211;"Terrestre";"Court";18;0,0631578947368421
"Terrestre";"TRITOT";0;0;0;0;0;0;0;84;0;"Aquatique";"Court";2;0,00701754385964912
"Terrestre";"TROTRO";0;0;1;3;5;7,3625;31;57,5;0,545454545454545;"Terrestre";"Court";247;0,866666666666667
"Terrestre";"TURMER";0;4;7;11,25;16,95;21,225;52;57,5;0,938259109311741;"Terrestre";"Court";281;0,985964912280702
"Terrestre";"TURPHI";0;0;1;3;5;8,5125;34,5;57,5;0,630799475753604;"Terrestre";"Court";253;0,887719298245614
"Terrestre";"TURPIL";0;0;0;0;0;0;0;65;0;"Terrestre";"Court";10;0,0350877192982456
"Terrestre";"TURTOR";0,0249999999999999;0,25;0,5;0,75;0,9;0,975;1;84,5;0,00939153439153439;"Terrestre";"Long";4;0,0140350877192982
"Terrestre";"TURVIS";0;0;0;0;1;2;3;73,5;0,0401743796109993;"Terrestre";"Court";53;0,185964912280702
"Terrestre";"TYTALB";0;0;0;0;0;0;0;56;0;"Terrestre";"Court";2;0,00701754385964912
"Terrestre";"UPUEPO";0;0;0;0;0,6;0,9;1;71;0,0178571428571429;"Terrestre";"Long";10;0,0350877192982456
