"SP";"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"BIOGEOREF"
"PASDOM";2007;"AD";"Court";23,1707582765336;26,0070101351351;27;28,0336538461539;29,5480745614035;"Atlantique"
"PHYCOL";2007;"AD";"Court";6,71638370118846;7,19512195121953;7,61290322580644;8,04545454545455;9,37507177033492;"Atlantique"
"PRUMOD";2007;"AD";"Court";16,6702594670406;18,3687943262411;19,5;20,2898550724638;22,071875;"Atlantique"
"PYRULA";2007;"AD";"Court";18,2582014542344;19,9612473423105;21,4961538461538;22,748522064152;26,2307186234818;"Atlantique"
"SYLATR";2007;"AD";"Court";15,071523178808;16,2272727272727;17,1164383561644;18,1232876712329;20,3622953020134;"Atlantique"
"TROTRO";2007;"AD";"Court";7,65625;9,16664086687308;9,84949494949496;10,4255319148936;11,9418478260869;"Atlantique"
"TURMER";2007;"AD";"Court";78,5216620773566;83,7954924447434;88,3833525345624;93,5871255760369;102,697222782258;"Atlantique"
"TURPHI";2007;"AD";"Court";57,65;64,6030844155844;69,07193019344;76,4299771167048;85;"Atlantique"
"AEGCAU";2008;"AD";"Court";7,26343358395991;7,74603174603176;8;8,27118644067797;9,03198297764229;"Atlantique"
"CETCET";2008;"AD";"Court";12,581424644984;13,4663742690058;14,7878787878788;15,3741150003308;16,0238523573201;"Atlantique"
"ERIRUB";2008;"AD";"Court";14,5;15,8749630286897;16,7281355932203;17,2361111111111;21,7175;"Atlantique"
"FRICOE";2008;"AD";"Court";18,6903105590061;20,1296296296296;21,1355466879489;22,2098671726755;23,750773006135;"Atlantique"
"PARCAE";2008;"AD";"Court";9,8863636363636;10,491935483871;10,8333333333333;11,1846769957983;12,3174307036247;"Atlantique"
"PARMAJ";2008;"AD";"Court";15,1935235816815;16,8269230769231;17,3437499999999;18,2565789473685;19,7074771689498;"Atlantique"
"PASDOM";2008;"AD";"Court";21,6256474358974;25,443431024752;26,3164556962024;27,147435897436;30,8691675101215;"Atlantique"
"PHYCOL";2008;"AD";"Court";6,6201575218571;7,25967843631776;7,64814814814814;8,04545454545455;9,64802211302212;"Atlantique"
"PRUMOD";2008;"AD";"Court";16,4995857497929;18,3333333333333;19,3103448275861;20;22,0374581939799;"Atlantique"
"PYRULA";2008;"AD";"Court";18,5788803680982;20,2562116564417;21,2383928571428;22,3210227272727;25,0399038461538;"Atlantique"
"SYLATR";2008;"AD";"Court";14,7811798629735;16,2223354231975;17,2047427595531;18,1299999999999;20,5437963516746;"Atlantique"
"TROTRO";2008;"AD";"Court";7,75425531914894;9,38297872340425;9,7029702970297;10,2083333333333;11,7229885057471;"Atlantique"
"TURMER";2008;"AD";"Court";78,4615384615388;84,8365384615389;88,8636363636363;93,3638987153229;104,192613636364;"Atlantique"
"TURPHI";2008;"AD";"Court";56,9174035087721;63,6514522821574;66,5641025641025;70;83,2317604355717;"Atlantique"
"AEGCAU";2009;"AD";"Court";6,3625;7,53701923076925;7,83948387096773;8,27118644067797;8,93600806451613;"Atlantique"
"CETCET";2009;"AD";"Court";12,2;13,9163498098859;14,8441064638783;15,5;17,5709090909091;"Atlantique"
"ERIRUB";2009;"AD";"Court";14,3345454545455;15,8824324324324;16,7;17,52;22,3883802816902;"Atlantique"
