"YEAR";"AGE_first";"SP";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
2018;"JUV";"PRUMOD";"Court";0;0;0;0,166666666666667;0,316666666666667;"Terrestre"
2019;"JUV";"PRUMOD";"Court";0;0;0;0,0333333333333333;0,293333333333333;"Terrestre"
2020;"JUV";"PRUMOD";"Court";0;0;0;0;0,0533333333333334;"Terrestre"
2021;"JUV";"PRUMOD";"Court";0;0;0;0;0,062;"Terrestre"
1989;"AD";"SYLATR";"Court";0,0550207039337474;0,121635610766046;0,195652173913043;0,472826086956522;0,722282608695652;"Terrestre"
1990;"AD";"SYLATR";"Court";0,00775862068965518;0,0533625730994152;0,100549450549451;0,14634703196347;0,210072689511942;"Terrestre"
1991;"AD";"SYLATR";"Court";0;0;0,0494117647058823;0,0970705064548163;0,242626728110599;"Terrestre"
1992;"AD";"SYLATR";"Court";0;0,0161290322580645;0,04;0,0521390374331551;0,0831223628691983;"Terrestre"
1993;"AD";"SYLATR";"Court";0;0;0;0,0965909090909091;0,137061403508772;"Terrestre"
1994;"AD";"SYLATR";"Court";0;0;0,0705882352941176;0,155844155844156;0,181481481481481;"Terrestre"
1995;"AD";"SYLATR";"Court";0;0;0;0,12483660130719;0,183445945945946;"Terrestre"
1996;"AD";"SYLATR";"Court";0;0;0,0592948717948718;0,128008021390374;0,142857142857143;"Terrestre"
1997;"AD";"SYLATR";"Court";0;0,0217391304347826;0,0689655172413793;0,113636363636364;0,18125;"Terrestre"
1998;"AD";"SYLATR";"Court";0;0;0;0;0,124206349206349;"Terrestre"
1999;"AD";"SYLATR";"Court";0;0;0;0,143581081081081;0,194324324324324;"Terrestre"
2000;"AD";"SYLATR";"Court";0;0;0,0212765957446809;0,0571428571428571;0,175555555555555;"Terrestre"
2001;"AD";"SYLATR";"Court";0;0;0;0,0952380952380952;0,257894736842105;"Terrestre"
2002;"AD";"SYLATR";"Court";0;0;0;0,0960960960960961;0,210160427807486;"Terrestre"
2003;"AD";"SYLATR";"Court";0;0;0,0689655172413793;0,142857142857143;0,193333333333333;"Terrestre"
2004;"AD";"SYLATR";"Court";0;0;0;0,0674418604651163;0,186805555555555;"Terrestre"
2005;"AD";"SYLATR";"Court";0;0;0;0,0725;0,284340659340659;"Terrestre"
2006;"AD";"SYLATR";"Court";0;0;0;0,111111111111111;0,421428571428572;"Terrestre"
2007;"AD";"SYLATR";"Court";0;0;0;0,0762987012987013;0,270833333333333;"Terrestre"
2008;"AD";"SYLATR";"Court";0;0;0;0,0909090909090909;0,25;"Terrestre"
