"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
2005;"Terrestre";1,39632936507937;2,52640845070423;3,16666666666667;5,50137362637363;13,65;"AEGCAU"
2006;"Terrestre";1,35535714285714;2,1243842364532;3;4,86778846153846;12,09375;"AEGCAU"
2007;"Terrestre";1,19695652173913;2,23214285714286;3,875;6,1875;19,5;"AEGCAU"
2008;"Terrestre";1,65416666666667;3;5,16666666666667;8,34703947368421;15,375;"AEGCAU"
2009;"Terrestre";1,05741758241758;2,10714285714286;4,74375;6,23076923076923;9,325;"AEGCAU"
2010;"Terrestre";2,13157894736842;2,72727272727273;4;6;12,0818181818182;"AEGCAU"
2011;"Terrestre";1,25967741935484;2,26648351648352;3,60714285714286;6,96798125732136;15,2489795918367;"AEGCAU"
2012;"Terrestre";1,55131578947368;3,23188405797101;5,25;9,5;14,35;"AEGCAU"
2013;"Terrestre";1,41241610738255;2,72727272727273;3,33333333333333;5,45454545454546;14,25;"AEGCAU"
2014;"Terrestre";2,00657894736842;3,75;5,17857142857143;8,04545454545454;14,3161764705882;"AEGCAU"
2015;"Terrestre";2,00714285714286;2,9954088325317;4,28571428571429;6,75;22,9166666666666;"AEGCAU"
2016;"Terrestre";1,875;3;4;6;12,7659574468085;"AEGCAU"
2017;"Terrestre";1,44375;2,5;4,28571428571429;7,69230769230769;18,2727272727273;"AEGCAU"
2018;"Terrestre";1,47403846153846;2,55681818181818;4,4;6,66666666666667;18,8999999999999;"AEGCAU"
2019;"Terrestre";1,97884615384615;2,67045454545455;4,75;8,04545454545454;20,25;"AEGCAU"
2020;"Terrestre";1,96875;2,5;3;6,75;12,9375;"AEGCAU"
2021;"Terrestre";1,1409375;2,14285714285714;3;9;13,171875;"AEGCAU"
2022;"Terrestre";1,74214285714286;2,93181818181818;4,39285714285714;6,15697674418605;12,7846153846154;"AEGCAU"
1990;"Terrestre";2,14285714285714;2,14285714285714;2,14285714285714;2,14285714285714;2,14285714285714;"ALCATT"
1991;"Terrestre";2,14285714285714;2,14285714285714;2,14285714285714;2,14285714285714;2,14285714285714;"ALCATT"
1992;"Terrestre";1,42857142857143;1,42857142857143;1,42857142857143;1,42857142857143;1,42857142857143;"ALCATT"
1993;"Terrestre";0,861160714285714;0,897321428571429;0,9375;1,54017857142857;2,08258928571429;"ALCATT"
1994;"Terrestre";1,73766233766234;1,94805194805195;2,18181818181818;4,66233766233766;6,89480519480519;"ALCATT"
1995;"Terrestre";0,889285714285714;1,17857142857143;1,5;1,82142857142857;2,11071428571429;"ALCATT"
1996;"Terrestre";2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;"ALCATT"
1997;"Terrestre";4,28571428571429;4,28571428571429;4,28571428571429;4,28571428571429;4,28571428571429;"ALCATT"
1998;"Terrestre";4,28571428571429;4,28571428571429;4,28571428571429;4,28571428571429;4,28571428571429;"ALCATT"
2000;"Terrestre";1,15384615384615;1,15384615384615;1,15384615384615;1,15384615384615;1,15384615384615;"ALCATT"
2001;"Terrestre";1,84285714285714;3;4,28571428571429;4,51127819548872;4,71428571428571;"ALCATT"
2002;"Terrestre";1,15573122529644;1,73913043478261;2;3;6,08571428571429;"ALCATT"
2003;"Terrestre";1,48755259467041;1,80434782608696;2,09090909090909;5,04545454545454;10,125;"ALCATT"
2004;"Terrestre";1,52317128577919;2,10526315789474;2,18181818181818;2,5;3,4;"ALCATT"
2005;"Terrestre";1,29520672421627;1,7258064516129;2,10526315789474;2,32142857142857;4,01785714285714;"ALCATT"
2006;"Terrestre";2,01071428571429;2,10714285714286;2,52304147465438;3,04698457223001;3,4351332398317;"ALCATT"
2007;"Terrestre";1,10696721311475;1,62857142857143;1,8695652173913;2,41071428571429;3,16673931996513;"ALCATT"
2008;"Terrestre";0,783333333333334;1,83333333333333;3;3,5;3,95;"ALCATT"
2009;"Terrestre";1,09090909090909;2,72727272727273;2,81524926686217;3,94009216589862;4,91071428571429;"ALCATT"
2010;"Terrestre";1,05645161290323;1,52349228611501;2,0695652173913;2,85;3;"ALCATT"
2011;"Terrestre";1,07472527472527;2,30769230769231;2,5;4,36363636363636;9,06;"ALCATT"
2012;"Terrestre";1,20512820512821;1,66666666666667;2,51748251748252;2,90322580645161;9,41708314402545;"ALCATT"
2013;"Terrestre";1,60714285714286;1,8609022556391;2,14285714285714;2,57142857142857;2,95714285714286;"ALCATT"
2014;"Terrestre";1,25714285714286;1,5;2;2,75;3,83333333333333;"ALCATT"
2015;"Terrestre";1,18846153846154;1,5;1,5;3;5,7;"ALCATT"
2016;"Terrestre";1,53308823529412;1,82352941176471;2,125;2,4375;2,9375;"ALCATT"
2017;"Terrestre";1,5375;1,875;2,14285714285714;2,72727272727273;2,97272727272727;"ALCATT"
2018;"Terrestre";1,21071428571429;2;2,5;3;3,6375;"ALCATT"
2019;"Terrestre";1,07142857142857;1,4375;2,25;2,5;3;"ALCATT"
2020;"Terrestre";2;2,05263157894737;2,14285714285714;2,40384615384615;2,925;"ALCATT"
2021;"Terrestre";1,6125;2,41071428571429;2,59328358208955;3;3,1533185840708;"ALCATT"
